 [2019-05-15 19:32:04,034] INFO     0[main] - applications.Main.main(Main.java:32) - 选择trackgame应用
 [2019-05-15 21:52:44,885] INFO     0[main] - applications.Main.main(Main.java:32) - 选择trackgame应用
 [2019-05-15 21:52:44,963] INFO    78[main] - applications.Main.main(Main.java:36) - 读取trackgame.txt的信息
 [2019-05-15 21:52:44,963] INFO    78[main] - applications.Main.main(Main.java:40) - 正在对读入文本进行正则表达式解析！
 [2019-05-15 21:52:44,980]ERROR    95[main] - circularOrbit.TrackGame.Analysis(TrackGame.java:377) - 文本中存在非法标签，重新输入文件
 [2019-05-15 21:58:58,647] INFO     0[main] - applications.Main.main(Main.java:32) - 选择trackgame应用
 [2019-05-15 21:58:58,679] INFO    32[main] - applications.Main.main(Main.java:36) - 读取trackgame.txt的信息
 [2019-05-15 21:58:58,679] INFO    32[main] - applications.Main.main(Main.java:40) - 正在对读入文本进行正则表达式解析！
 [2019-05-15 21:58:58,694]ERROR    47[main] - circularOrbit.TrackGame.Analysis(TrackGame.java:377) - 文本中存在非法标签，重新输入文件
 [2019-05-15 21:59:04,253]ERROR  5606[main] - circularOrbit.TrackGame.Analysis(TrackGame.java:377) - 文本中存在非法标签，重新输入文件
 [2019-05-15 21:59:14,861]ERROR 16214[main] - circularOrbit.TrackGame.Analysis(TrackGame.java:377) - 文本中存在非法标签，重新输入文件
 [2019-05-15 22:00:34,083] INFO     0[main] - applications.Main.main(Main.java:32) - 选择trackgame应用
 [2019-05-15 22:00:34,099] INFO    16[main] - applications.Main.main(Main.java:36) - 读取trackgame.txt的信息
 [2019-05-15 22:00:34,114] INFO    31[main] - applications.Main.main(Main.java:40) - 正在对读入文本进行正则表达式解析！
 [2019-05-15 22:00:34,116]ERROR    33[main] - circularOrbit.TrackGame.Analysis(TrackGame.java:377) - 文本中存在非法标签，重新输入文件
 [2019-05-15 22:00:39,774]ERROR  5691[main] - circularOrbit.TrackGame.Analysis(TrackGame.java:377) - 文本中存在非法标签，重新输入文件
 [2019-05-15 22:00:58,940] INFO     0[main] - applications.Main.main(Main.java:112) - 读取 AtomicStructure.txt文件的信息
 [2019-05-15 22:00:58,956] INFO    16[main] - applications.Main.main(Main.java:115) - 对应用二读入文本进行正则表达式匹配
 [2019-05-15 22:00:58,972]ERROR    32[main] - circularOrbit.AtomStructure.Analysis(AtomStructure.java:152) - 应用2电子的轨道数超过了轨道数，重新输入文本
 [2019-05-15 22:01:01,483] INFO  2543[main] - applications.Main.main(Main.java:119) - 输出应用二的功能菜单
 [2019-05-15 22:01:07,908] INFO     0[main] - applications.Main.main(Main.java:173) - 读入SocialNetworkCircle.txt 文件
 [2019-05-15 22:01:07,923] INFO    15[main] - applications.Main.main(Main.java:176) - 对应用三的文本进行正则表达式匹配
