[2019-06-18 21:32:54,318] INFO 42909[Thread-20023] - lab6.monkey.run(monkey.java:148) - 右边
 [2019-06-18 21:32:54,318] INFO 42909[Thread-20023] - lab6.monkey.run(monkey.java:153) - 27 秒过去出生后
 [2019-06-18 21:32:53,725] INFO 42316[Thread-22697] - lab6.monkey.run(monkey.java:144) - 猴子 2698 在等待在 
 [2019-06-18 21:32:54,318] INFO 42909[Thread-22697] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 21:32:54,318] INFO 42909[Thread-22697] - lab6.monkey.run(monkey.java:153) - 28 秒过去出生后
 [2019-06-18 21:32:53,725] INFO 42316[Thread-20371] - lab6.monkey.run(monkey.java:144) - 猴子 372 在等待在 
 [2019-06-18 21:32:54,318] INFO 42909[Thread-20371] - lab6.monkey.run(monkey.java:148) - 右边
 [2019-06-18 21:32:54,318] INFO 42909[Thread-20371] - lab6.monkey.run(monkey.java:153) - 29 秒过去出生后
 [2019-06-18 21:32:53,725] INFO 42316[Thread-20205] - lab6.monkey.run(monkey.java:144) - 猴子 206 在等待在 
 [2019-06-18 21:32:54,318] INFO 42909[Thread-20205] - lab6.monkey.run(monkey.java:148) - 右边
 [2019-06-18 21:32:54,318] INFO 42909[Thread-20205] - lab6.monkey.run(monkey.java:153) - 29 秒过去出生后
 [2019-06-18 21:32:53,725] INFO 42316[Thread-22095] - lab6.monkey.run(monkey.java:144) - 猴子 2096 在等待在 
 [2019-06-18 21:32:54,318] INFO 42909[Thread-22095] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 21:32:54,318] INFO 42909[Thread-22095] - lab6.monkey.run(monkey.java:153) - 28 秒过去出生后
 [2019-06-18 21:32:53,725] INFO 42316[Thread-21743] - lab6.monkey.run(monkey.java:144) - 猴子 1744 在等待在 
 [2019-06-18 21:32:54,318] INFO 42909[Thread-21743] - lab6.monkey.run(monkey.java:148) - 右边
 [2019-06-18 21:32:54,318] INFO 42909[Thread-21743] - lab6.monkey.run(monkey.java:153) - 31 秒过去出生后
 [2019-06-18 21:32:53,725] INFO 42316[Thread-22175] - lab6.monkey.run(monkey.java:144) - 猴子 2176 在等待在 
 [2019-06-18 21:32:54,318] INFO 42909[Thread-22175] - lab6.monkey.run(monkey.java:148) - 右边
 [2019-06-18 21:32:54,318] INFO 42909[Thread-22175] - lab6.monkey.run(monkey.java:153) - 26 秒过去出生后
 [2019-06-18 21:32:53,725] INFO 42316[Thread-21391] - lab6.monkey.run(monkey.java:144) - 猴子 1392 在等待在 
 [2019-06-18 21:32:54,318] INFO 42909[Thread-21391] - lab6.monkey.run(monkey.java:148) - 右边
 [2019-06-18 21:32:54,318] INFO 42909[Thread-21391] - lab6.monkey.run(monkey.java:153) - 29 秒过去出生后
 [2019-06-18 21:32:53,725] INFO 42316[Thread-23877] - lab6.monkey.run(monkey.java:144) - 猴子 3878 在等待在 
 [2019-06-18 21:32:54,318] INFO 42909[Thread-23877] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 21:32:54,318] INFO 42909[Thread-23877] - lab6.monkey.run(monkey.java:153) - 29 秒过去出生后
 [2019-06-18 21:32:53,725] INFO 42316[Thread-20035] - lab6.monkey.run(monkey.java:144) - 猴子 36 在等待在 
 [2019-06-18 21:32:54,318] INFO 42909[Thread-20035] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 21:32:54,318] INFO 42909[Thread-20035] - lab6.monkey.run(monkey.java:153) - 28 秒过去出生后
 [2019-06-18 21:32:53,725] INFO 42316[Thread-21459] - lab6.monkey.run(monkey.java:144) - 猴子 1460 在等待在 
 [2019-06-18 21:32:54,318] INFO 42909[Thread-21459] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 21:32:54,318] INFO 42909[Thread-21459] - lab6.monkey.run(monkey.java:153) - 29 秒过去出生后
 [2019-06-18 21:32:53,725] INFO 42316[Thread-20361] - lab6.monkey.run(monkey.java:144) - 猴子 362 在等待在 
 [2019-06-18 21:32:54,318] INFO 42909[Thread-20361] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 21:32:54,318] INFO 42909[Thread-20361] - lab6.monkey.run(monkey.java:153) - 27 秒过去出生后
 [2019-06-18 21:32:53,725] INFO 42316[Thread-20287] - lab6.monkey.run(monkey.java:144) - 猴子 288 在等待在 
 [2019-06-18 21:32:54,318] INFO 42909[Thread-20287] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 21:32:54,318] INFO 42909[Thread-20287] - lab6.monkey.run(monkey.java:153) - 29 秒过去出生后
 [2019-06-18 21:32:53,725] INFO 42316[Thread-20187] - lab6.monkey.run(monkey.java:144) - 猴子 188 在等待在 
 [2019-06-18 21:32:54,318] INFO 42909[Thread-20187] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 21:32:54,318] INFO 42909[Thread-20187] - lab6.monkey.run(monkey.java:153) - 27 秒过去出生后
 [2019-06-18 21:32:53,725] INFO 42316[Thread-22967] - lab6.monkey.run(monkey.java:144) - 猴子 2968 在等待在 
 [2019-06-18 21:32:54,318] INFO 42909[Thread-22967] - lab6.monkey.run(monkey.java:148) - 右边
 [2019-06-18 21:32:54,318] INFO 42909[Thread-22967] - lab6.monkey.run(monkey.java:153) - 29 秒过去出生后
 [2019-06-18 21:32:53,725] INFO 42316[Thread-20211] - lab6.monkey.run(monkey.java:144) - 猴子 212 在等待在 
 [2019-06-18 21:32:54,318] INFO 42909[Thread-20211] - lab6.monkey.run(monkey.java:148) - 右边
 [2019-06-18 21:32:54,318] INFO 42909[Thread-20211] - lab6.monkey.run(monkey.java:153) - 28 秒过去出生后
 [2019-06-18 21:32:53,725] INFO 42316[Thread-22965] - lab6.monkey.run(monkey.java:144) - 猴子 2966 在等待在 
 [2019-06-18 21:32:54,318] INFO 42909[Thread-22965] - lab6.monkey.run(monkey.java:148) - 右边
