[2019-06-18 22:20:28,611] INFO956736[Thread-566] - lab6.monkey.run(monkey.java:144) - 猴子 267 在等待在 
 [2019-06-18 22:20:28,611] INFO956736[Thread-566] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 22:20:28,611] INFO956736[Thread-566] - lab6.monkey.run(monkey.java:153) - 906 秒过去出生后
 [2019-06-18 22:20:28,611] INFO956736[Thread-578] - lab6.monkey.run(monkey.java:144) - 猴子 279 在等待在 
 [2019-06-18 22:20:28,611] INFO956736[Thread-578] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 22:20:28,611] INFO956736[Thread-578] - lab6.monkey.run(monkey.java:153) - 901 秒过去出生后
 [2019-06-18 22:20:28,611] INFO956736[Thread-416] - lab6.monkey.run(monkey.java:144) - 猴子 117 在等待在 
 [2019-06-18 22:20:28,611] INFO956736[Thread-416] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 22:20:28,611] INFO956736[Thread-416] - lab6.monkey.run(monkey.java:153) - 931 秒过去出生后
 [2019-06-18 22:20:28,611] INFO956736[Thread-378] - lab6.monkey.run(monkey.java:144) - 猴子 79 在等待在 
 [2019-06-18 22:20:28,611] INFO956736[Thread-378] - lab6.monkey.run(monkey.java:148) - 右边
 [2019-06-18 22:20:28,611] INFO956736[Thread-378] - lab6.monkey.run(monkey.java:153) - 936 秒过去出生后
 [2019-06-18 22:20:28,611] INFO956736[Thread-454] - lab6.monkey.run(monkey.java:144) - 猴子 155 在等待在 
 [2019-06-18 22:20:28,611] INFO956736[Thread-454] - lab6.monkey.run(monkey.java:148) - 右边
 [2019-06-18 22:20:28,611] INFO956736[Thread-454] - lab6.monkey.run(monkey.java:153) - 921 秒过去出生后
 [2019-06-18 22:20:28,611] INFO956736[Thread-428] - lab6.monkey.run(monkey.java:144) - 猴子 129 在等待在 
 [2019-06-18 22:20:28,611] INFO956736[Thread-428] - lab6.monkey.run(monkey.java:148) - 右边
 [2019-06-18 22:20:28,611] INFO956736[Thread-428] - lab6.monkey.run(monkey.java:153) - 926 秒过去出生后
 [2019-06-18 22:20:28,611] INFO956736[Thread-340] - lab6.monkey.run(monkey.java:144) - 猴子 41 在等待在 
 [2019-06-18 22:20:28,611] INFO956736[Thread-340] - lab6.monkey.run(monkey.java:148) - 右边
 [2019-06-18 22:20:28,611] INFO956736[Thread-340] - lab6.monkey.run(monkey.java:153) - 941 秒过去出生后
 [2019-06-18 22:20:28,611] INFO956736[Thread-554] - lab6.monkey.run(monkey.java:144) - 猴子 255 在等待在 
 [2019-06-18 22:20:28,611] INFO956736[Thread-554] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 22:20:28,611] INFO956736[Thread-554] - lab6.monkey.run(monkey.java:153) - 906 秒过去出生后
 [2019-06-18 22:20:28,611] INFO956736[Thread-532] - lab6.monkey.run(monkey.java:144) - 猴子 233 在等待在 
 [2019-06-18 22:20:28,611] INFO956736[Thread-532] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 22:20:28,611] INFO956736[Thread-532] - lab6.monkey.run(monkey.java:153) - 911 秒过去出生后
 [2019-06-18 22:20:28,611] INFO956736[Thread-564] - lab6.monkey.run(monkey.java:144) - 猴子 265 在等待在 
 [2019-06-18 22:20:28,611] INFO956736[Thread-564] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 22:20:28,611] INFO956736[Thread-564] - lab6.monkey.run(monkey.java:153) - 906 秒过去出生后
 [2019-06-18 22:20:28,611] INFO956736[Thread-582] - lab6.monkey.run(monkey.java:144) - 猴子 283 在等待在 
 [2019-06-18 22:20:28,611] INFO956736[Thread-582] - lab6.monkey.run(monkey.java:148) - 右边
 [2019-06-18 22:20:28,611] INFO956736[Thread-582] - lab6.monkey.run(monkey.java:153) - 901 秒过去出生后
 [2019-06-18 22:20:28,611] INFO956736[Thread-562] - lab6.monkey.run(monkey.java:144) - 猴子 263 在等待在 
 [2019-06-18 22:20:28,611] INFO956736[Thread-562] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 22:20:28,611] INFO956736[Thread-562] - lab6.monkey.run(monkey.java:153) - 906 秒过去出生后
 [2019-06-18 22:20:28,611] INFO956736[Thread-468] - lab6.monkey.run(monkey.java:144) - 猴子 169 在等待在 
 [2019-06-18 22:20:28,611] INFO956736[Thread-468] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 22:20:28,611] INFO956736[Thread-468] - lab6.monkey.run(monkey.java:153) - 921 秒过去出生后
 [2019-06-18 22:20:28,611] INFO956736[Thread-560] - lab6.monkey.run(monkey.java:144) - 猴子 261 在等待在 
 [2019-06-18 22:20:28,611] INFO956736[Thread-560] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 22:20:28,611] INFO956736[Thread-560] - lab6.monkey.run(monkey.java:153) - 906 秒过去出生后
 [2019-06-18 22:20:28,611] INFO956736[Thread-376] - lab6.monkey.run(monkey.java:144) - 猴子 77 在等待在 
 [2019-06-18 22:20:28,611] INFO956736[Thread-376] - lab6.monkey.run(monkey.java:148) - 右边
 [2019-06-18 22:20:28,611] INFO956736[Thread-376] - lab6.monkey.run(monkey.java:153) - 936 秒过去出生后
 [2019-06-18 22:20:28,611] INFO956736[Thread-556] - lab6.monkey.run(monkey.java:144) - 猴子 257 在等待在 
 [2019-06-18 22:20:28,611] INFO956736[Thread-556] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 22:20:28,611] INFO956736[Thread-556] - lab6.monkey.run(monkey.java:153) - 906 秒过去出生后
 [2019-06-18 22:20:28,642] INFO956767[Thread-414] - lab6.monkey.run(monkey.java:144) - 猴子 115 在等待在 
 [2019-06-18 22:20:28,642] INFO956767[Thread-414] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 22:20:28,642] INFO956767[Thread-414] - lab6.monkey.run(monkey.java:153) - 931 秒过去出生后
 [2019-06-18 22:20:28,658] INFO956783[Thread-533] - lab6.monkey.run(monkey.java:144) - 猴子 234 在等待在 
 [2019-06-18 22:20:28,658] INFO956783[Thread-533] - lab6.monkey.run(monkey.java:148) - 右边
 [2019-06-18 22:20:28,658] INFO956783[Thread-533] - lab6.monkey.run(monkey.java:153) - 911 秒过去出生后
 [2019-06-18 22:20:28,704] INFO956829[Thread-551] - lab6.monkey.run(monkey.java:144) - 猴子 252 在等待在 
 [2019-06-18 22:20:28,704] INFO956829[Thread-551] - lab6.monkey.run(monkey.java:148) - 右边
 [2019-06-18 22:20:28,704] INFO956829[Thread-551] - lab6.monkey.run(monkey.java:153) - 906 秒过去出生后
 [2019-06-18 22:20:28,704] INFO956829[Thread-541] - lab6.monkey.run(monkey.java:144) - 猴子 242 在等待在 
 [2019-06-18 22:20:28,704] INFO956829[Thread-541] - lab6.monkey.run(monkey.java:148) - 右边
 [2019-06-18 22:20:28,704] INFO956829[Thread-541] - lab6.monkey.run(monkey.java:153) - 906 秒过去出生后
 [2019-06-18 22:20:28,736] INFO956861[Thread-517] - lab6.monkey.run(monkey.java:144) - 猴子 218 在等待在 
 [2019-06-18 22:20:28,736] INFO956861[Thread-517] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 22:20:28,736] INFO956861[Thread-517] - lab6.monkey.run(monkey.java:153) - 911 秒过去出生后
 [2019-06-18 22:20:28,736] INFO956861[Thread-565] - lab6.monkey.run(monkey.java:144) - 猴子 266 在等待在 
 [2019-06-18 22:20:28,736] INFO956861[Thread-565] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 22:20:28,736] INFO956861[Thread-565] - lab6.monkey.run(monkey.java:153) - 906 秒过去出生后
 [2019-06-18 22:20:28,736] INFO956861[Thread-391] - lab6.monkey.run(monkey.java:144) - 猴子 92 在等待在 
 [2019-06-18 22:20:28,736] INFO956861[Thread-391] - lab6.monkey.run(monkey.java:148) - 右边
 [2019-06-18 22:20:28,736] INFO956861[Thread-391] - lab6.monkey.run(monkey.java:153) - 931 秒过去出生后
 [2019-06-18 22:20:28,736] INFO956861[Thread-435] - lab6.monkey.run(monkey.java:144) - 猴子 136 在等待在 
 [2019-06-18 22:20:28,736] INFO956861[Thread-435] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 22:20:28,736] INFO956861[Thread-435] - lab6.monkey.run(monkey.java:153) - 926 秒过去出生后
 [2019-06-18 22:20:28,736] INFO956861[Thread-467] - lab6.monkey.run(monkey.java:144) - 猴子 168 在等待在 
 [2019-06-18 22:20:28,736] INFO956861[Thread-467] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 22:20:28,736] INFO956861[Thread-467] - lab6.monkey.run(monkey.java:153) - 921 秒过去出生后
 [2019-06-18 22:20:28,736] INFO956861[Thread-563] - lab6.monkey.run(monkey.java:144) - 猴子 264 在等待在 
 [2019-06-18 22:20:28,736] INFO956861[Thread-563] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 22:20:28,736] INFO956861[Thread-563] - lab6.monkey.run(monkey.java:153) - 906 秒过去出生后
 [2019-06-18 22:20:28,736] INFO956861[Thread-561] - lab6.monkey.run(monkey.java:144) - 猴子 262 在等待在 
 [2019-06-18 22:20:28,736] INFO956861[Thread-561] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 22:20:28,736] INFO956861[Thread-561] - lab6.monkey.run(monkey.java:153) - 906 秒过去出生后
